tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,Geocoded_City1,Geocoded_City2,tbl1apk
Table 1a,2017,2,30599,31453,"Birmingham, AL","Houston, TX",10599,12191,BHM,HOU,570,145,241.4,WN,0.9408,238.68,WN,0.9408,238.68,"Birmingham, AL
(33.522859, -86.807705)","Houston, TX
(29.760803, -95.369506)",201721059912191BHMHOU
Table 1a,2017,2,30140,30721,"Albuquerque, NM","Boston, MA (Metropolitan Area)",10140,10721,ABQ,BOS,1974,188,287.74,WN,0.3828,263.42,WN,0.3828,263.42,"Albuquerque, NM
(35.084248, -106.649241)","Boston, MA (Metropolitan Area)
(42.358894, -71.056742)",201721014010721ABQBOS
Table 1a,2017,2,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",10140,10800,ABQ,BUR,677,66,203.69,WN,0.9086,198.26,WN,0.9086,198.26,"Albuquerque, NM
(35.084248, -106.649241)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",201721014010800ABQBUR
Table 1a,2017,2,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",10140,10821,ABQ,BWI,1670,281,289.25,WN,0.9309,283.78,WN,0.9309,283.78,"Albuquerque, NM
(35.084248, -106.649241)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",201721014010821ABQBWI
Table 1a,2017,2,30140,30194,"Albuquerque, NM","Dallas/Fort Worth, TX",10140,11259,ABQ,DAL,580,300,204.65,WN,0.9996,204.62,WN,0.9996,204.62,"Albuquerque, NM
(35.084248, -106.649241)","Dallas/Fort Worth, TX
(40.11086, -77.035636)",201721014011259ABQDAL
Table 1a,2017,2,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",10140,11278,ABQ,DCA,1670,227,297.23,AA,0.3832,316.73,WN,0.3789,265.92,"Albuquerque, NM
(35.084248, -106.649241)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",201721014011278ABQDCA
Table 1a,2017,2,30140,30194,"Albuquerque, NM","Dallas/Fort Worth, TX",10140,11298,ABQ,DFW,580,241,212.23,AA,0.9831,212.75,AA,0.9831,212.75,"Albuquerque, NM
(35.084248, -106.649241)","Dallas/Fort Worth, TX
(40.11086, -77.035636)",201721014011298ABQDFW
Table 1a,2017,2,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,11618,ABQ,EWR,1861,119,290.4,UA,0.403,292.8,WN,0.2366,249.38,"Albuquerque, NM
(35.084248, -106.649241)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",201721014011618ABQEWR
Table 1a,2017,2,30140,31453,"Albuquerque, NM","Houston, TX",10140,12191,ABQ,HOU,759,206,253.34,WN,0.9808,252.21,WN,0.9808,252.21,"Albuquerque, NM
(35.084248, -106.649241)","Houston, TX
(29.760803, -95.369506)",201721014012191ABQHOU
Table 1a,2017,2,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,12197,ABQ,HPN,1861,7,351.34,DL,0.5909,354.9,UA,0.1061,264,"Albuquerque, NM
(35.084248, -106.649241)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",201721014012197ABQHPN
Table 1a,2017,2,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",10140,12264,ABQ,IAD,1670,90,300.06,UA,0.5583,292.95,UA,0.5583,292.95,"Albuquerque, NM
(35.084248, -106.649241)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",201721014012264ABQIAD
Table 1a,2017,2,30140,31453,"Albuquerque, NM","Houston, TX",10140,12266,ABQ,IAH,759,88,282.18,UA,0.8683,280.88,AA,0.1104,280.77,"Albuquerque, NM
(35.084248, -106.649241)","Houston, TX
(29.760803, -95.369506)",201721014012266ABQIAH
Table 1a,2017,2,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,12391,ABQ,ISP,1861,11,275.05,WN,0.9808,267.59,WN,0.9808,267.59,"Albuquerque, NM
(35.084248, -106.649241)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",201721014012391ABQISP
Table 1a,2017,2,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,12478,ABQ,JFK,1861,199,222.99,B6,0.9012,211.93,B6,0.9012,211.93,"Albuquerque, NM
(35.084248, -106.649241)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",201721014012478ABQJFK
Table 1a,2017,2,31066,30325,"Columbus, OH","Denver, CO",11066,11292,CMH,DEN,1154,569,189.95,WN,0.3817,221.52,F9,0.334,97.57,"Columbus, OH
(39.962649, -82.996216)","Denver, CO
(39.738453, -104.984853)",201721106611292CMHDEN
Table 1a,2017,2,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",10140,12892,ABQ,LAX,677,705,164.3,WN,0.5873,160.24,WN,0.5873,160.24,"Albuquerque, NM
(35.084248, -106.649241)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",201721014012892ABQLAX
